"Codegeo"	"GemeindeDescr"	"Bevölkerungsdichte"
08336082	Schwörstadt	183.72280419
08336082	Schwörstadt	124.45219124
08336082	Schwörstadt	780.09049774
08336082	Schwörstadt	707.16510903
08336084	Steinen	215.47161758
08336084	Steinen	424.57737321
08336084	Steinen	613.02816901
08336084	Steinen	149.74747475
08336084	Steinen	285.83283936
08336091	Weil am Rhein	153.40782123
08336091	Weil am Rhein	437.90523691
08336091	Weil am Rhein	129.13385827
08336091	Weil am Rhein	245.9047619
08336091	Weil am Rhein	1550.9501798
08336100	Wittlingen	72.842105263
08336100	Wittlingen	1942.3076923
08336100	Wittlingen	390.84561676
08336100	Wittlingen	778.66831073
08336100	Wittlingen	210
08336103	Zell im Wiesental	112.14574899
08336103	Zell im Wiesental	451.04052574
08336103	Zell im Wiesental	172.18378079
08336103	Zell im Wiesental	766.77316294
08336103	Zell im Wiesental	2091.2205567
08336104	Malsburg-Marzell	8.8560885609
08336104	Malsburg-Marzell	411.35152085
08336104	Malsburg-Marzell	60.714285714
08336104	Malsburg-Marzell	474.49494949
08336104	Malsburg-Marzell	790.18789144
08336105	Grenzach-Wyhlen	845.20785219
08336105	Grenzach-Wyhlen	113.20414601
08336105	Grenzach-Wyhlen	92.278719397
08336105	Grenzach-Wyhlen	1021.5753425
08336105	Grenzach-Wyhlen	111.21495327
08336106	Häg-Ehrsberg	16.431924883
08336106	Häg-Ehrsberg	66.159355416
08336106	Häg-Ehrsberg	34.10543131
08336106	Häg-Ehrsberg	206.20842572
08336106	Häg-Ehrsberg	860.05176877
08336107	Kleines Wiesental	36.459403905
08336107	Kleines Wiesental	1097.9094077
08336107	Kleines Wiesental	330.91976517
08336107	Kleines Wiesental	15.535307517
08336107	Kleines Wiesental	37.871956718
11042471	Bättwil	701.79640719
11042471	Bättwil	275.84973166
11042471	Bättwil	18.013100437
11042471	Bättwil	1728.7128713
11042471	Bättwil	9.4781682641
11042472	Büren (SO)	167.25521669
11042472	Büren (SO)	75.260308205
11042472	Büren (SO)	243.26241135
11042472	Büren (SO)	1008.7719298
11042472	Büren (SO)	44.710743802
11042473	Dornach	729.73451327
11042473	Dornach	29357.718121
11042473	Dornach	36.739974127
11042473	Dornach	1154.7495682
11042473	Dornach	100.72674419
11042474	Gempen	135.29411765
11042474	Gempen	260.25515211
11042474	Gempen	12.36238946
11042474	Gempen	3525.9259259
11042474	Gempen	146.9115192
11042475	Hochwald	156.40718563
11042475	Hochwald	83.831954169
11042475	Hochwald	424.5398773
11042475	Hochwald	2303.1440162
11042475	Hochwald	446.6966967
11042476	Hofstetten-Flüh	3387.3563218
11042476	Hofstetten-Flüh	213.18777293
11042476	Hofstetten-Flüh	4.7271520982
11042476	Hofstetten-Flüh	413.29787234
11042476	Hofstetten-Flüh	217.8807947
11042477	Metzerlen-Mariastein	66.809815951
11042477	Metzerlen-Mariastein	455.44147844
11042477	Metzerlen-Mariastein	31.075697211
11042477	Metzerlen-Mariastein	86.318897638
11042477	Metzerlen-Mariastein	109.90566038
11042478	Nuglar-St. Pantaleon	234.38485804
11042478	Nuglar-St. Pantaleon	548.51301115
11042478	Nuglar-St. Pantaleon	41.677419355
11042478	Nuglar-St. Pantaleon	15.020862309
11042478	Nuglar-St. Pantaleon	80.093676815
11042479	Rodersdorf	246.1682243
11042479	Rodersdorf	2167.8678679
11042479	Rodersdorf	176.01809955
11042479	Rodersdorf	50.709677419
11042479	Rodersdorf	80.159521436
11042480	Seewen	62.170447578
11042480	Seewen	4818.8372093
11042480	Seewen	3824.7272727
11042480	Seewen	107.94157919
11042480	Seewen	29.103815439
11042481	Witterswil	42.080045096
11042481	Witterswil	560.6741573
11042481	Witterswil	186.12440191
11042481	Witterswil	70.634278003
11042481	Witterswil	720.08733624
11102611	Bärschwil	398.17073171
11102611	Bärschwil	407.28051392
11102611	Bärschwil	1504.4052863
11102611	Bärschwil	272.35772358
11102611	Bärschwil	72.922252011
11102613	Breitenbach	598.03921569
11102613	Breitenbach	374.52380952
11102613	Breitenbach	37.170474517
11102613	Breitenbach	565.88235294
11102613	Breitenbach	2220.9302326
11102614	Büsserach	303.57615894
11102614	Büsserach	147740.43321
11102614	Büsserach	40.277264325
11102614	Büsserach	9.3063583815
11102614	Büsserach	144.29530201
11102616	Fehren	2970.1846966
11102616	Fehren	658.03757829
11102616	Fehren	11.714362129
11102616	Fehren	397.97297297
11102616	Fehren	267.56756757
11102618	Himmelried	579.39698492
11102618	Himmelried	1941.8987342
11102618	Himmelried	56.169680428
11102618	Himmelried	1439.0581717
11102618	Himmelried	153.39966833
11102619	Kleinlützel	377.62237762
11102619	Kleinlützel	76.225490196
11102619	Kleinlützel	99.523809524
11102619	Kleinlützel	261.58261583
11102619	Kleinlützel	9.2481203008
11102620	Meltingen	755.18867925
11102620	Meltingen	778.52494577
11102620	Meltingen	148.58903665
11102620	Meltingen	8.3728278041
11102620	Meltingen	111.97916667
11102621	Nunningen	309.45626478
11102621	Nunningen	108.19672131
11102621	Nunningen	183.60814743
11102621	Nunningen	359.12961211
11102621	Nunningen	1775.0853242
11102622	Zullwil	1081.0246679
11102622	Zullwil	665.63573883
11102622	Zullwil	184.69945355
11102622	Zullwil	115.51956815
11102622	Zullwil	1121.0946408
12002701	Basel	185.29862175
12002701	Basel	478.82352941
12002701	Basel	7191.3207547
12002701	Basel	121.45311733
12002701	Basel	410.9922179
12002702	Bettingen	516.14349776
12002702	Bettingen	449.38488576
12002702	Bettingen	44.50867052
12002702	Bettingen	1301.5384615
12002702	Bettingen	528.87700535
12002703	Riehen	3034.3387471
12002703	Riehen	1954.3698252
12002703	Riehen	209.68962907
12002703	Riehen	33.64323068
12002703	Riehen	140.54669704
13012761	Aesch (BL)	1383.3783784
13012761	Aesch (BL)	161.8694362
13012761	Aesch (BL)	71.735604217
13012761	Aesch (BL)	187.68472906
13012761	Aesch (BL)	204.83870968
13012762	Allschwil	2352.4184477
13012762	Allschwil	598.16753927
13012762	Allschwil	8.5027726433
13012762	Allschwil	785.37344398
13012762	Allschwil	711.36909528
13012763	Arlesheim	44.96124031
13012763	Arlesheim	206.48918469
13012763	Arlesheim	349.43820225
13012763	Arlesheim	3621.4659686
13012763	Arlesheim	1327.8499278
13012764	Biel-Benken	164.76821192
13012764	Biel-Benken	2323.4703196
13012764	Biel-Benken	831.7961165
13012764	Biel-Benken	90.411710887
13012764	Biel-Benken	224.78386167
13012765	Binningen	14.849902979
13012765	Binningen	3493.2735426
13012765	Binningen	470.06578947
13012765	Binningen	86.810228802
13012765	Binningen	207.17035611
13012766	Birsfelden	4147.4103586
13012766	Birsfelden	36.398838335
13012766	Birsfelden	51.895812727
13012766	Birsfelden	1279.0540541
13012766	Birsfelden	68.877968878
13012767	Bottmingen	182.78950736
13012767	Bottmingen	68.910179641
13012767	Bottmingen	50.027670172
13012767	Bottmingen	2205.0167224
13012767	Bottmingen	219.48051948
13012768	Ettingen	100
13012768	Ettingen	37.644125896
13012768	Ettingen	28490.531561
13012768	Ettingen	815.82278481
13012768	Ettingen	240.86614173
13012769	Münchenstein	70.526960784
13012769	Münchenstein	77.813504823
13012769	Münchenstein	1697.2183588
13012769	Münchenstein	18.676579926
13012769	Münchenstein	64.138389887
13012770	Muttenz	72.818455366
13012770	Muttenz	1069.3693694
13012770	Muttenz	3688.1944444
13012770	Muttenz	520
13012770	Muttenz	40.244428469
13012771	Oberwil (BL)	991.95736434
13012771	Oberwil (BL)	148.23848238
13012771	Oberwil (BL)	1422.1799747
13012771	Oberwil (BL)	13.883268482
13012771	Oberwil (BL)	3.9268680445
13012772	Pfeffingen	48.135964912
13012772	Pfeffingen	5713.9344262
13012772	Pfeffingen	482.20858896
13012772	Pfeffingen	48.818005181
13012772	Pfeffingen	14.706890641
13012773	Reinach (BL)	2746.6284075
13012773	Reinach (BL)	226.69404517
13012773	Reinach (BL)	249.5042961
13012773	Reinach (BL)	507.18816068
13012773	Reinach (BL)	385.82809224
13012774	Schönenbuch	1025.9259259
13012774	Schönenbuch	187.06896552
13012774	Schönenbuch	1536.7713004
13012774	Schönenbuch	116.50366748
13012774	Schönenbuch	8.4410170905
13012775	Therwil	1433.3026679
13012775	Therwil	36.033274956
13012775	Therwil	18.367346939
13012775	Therwil	439.84375
13012775	Therwil	1298.5639687
13022781	Blauen	1406.7567568
13022781	Blauen	30.897887324
13022781	Blauen	86.564388656
13022781	Blauen	92.784992785
13022781	Blauen	97.050561798
13022782	Brislach	252.27629513
13022782	Brislach	174.41613588
13022782	Brislach	3.0998248687
13022782	Brislach	384
13022782	Brislach	740.78651685
13022783	Burg im Leimental	159.7693786
13022783	Burg im Leimental	92.253521127
13022783	Burg im Leimental	1447.9077253
13022783	Burg im Leimental	744.01154401
13022783	Burg im Leimental	796.58119658
13022784	Dittingen	2961.8932039
13022784	Dittingen	1553.8845331
13022784	Dittingen	26.141078838
13022784	Dittingen	127.09273183
13022784	Dittingen	108.14814815
13022785	Duggingen	159.92691839
13022785	Duggingen	267.57679181
13022785	Duggingen	3992.1524664
13022785	Duggingen	46.051342348
13022785	Duggingen	1755
13022786	Grellingen	123.03306727
13022786	Grellingen	4452.7777778
13022786	Grellingen	255.27488856
13022786	Grellingen	557.14285714
13022786	Grellingen	1210.6280193
13022787	Laufen	51.168224299
13022787	Laufen	788.62876254
13022787	Laufen	353.51925631
13022787	Laufen	1430.7053942
13022787	Laufen	487.36842105
13022789	Nenzlingen	3380.6451613
13022789	Nenzlingen	192.6286509
13022789	Nenzlingen	2.118076689
13022789	Nenzlingen	118.03278689
13022789	Nenzlingen	27.3891039
13022791	Röschenz	49.840255591
13022791	Röschenz	29.092996556
13022791	Röschenz	186.69314796
13022791	Röschenz	216.85667752
13022791	Röschenz	87.69035533
13022792	Wahlen	16.920473773
13022792	Wahlen	261.92236599
13022792	Wahlen	335.99182004
13022792	Wahlen	246.86956522
13022792	Wahlen	46.189877756
13022793	Zwingen	507.37527115
13022793	Zwingen	37.589670014
13022793	Zwingen	140.88785047
13022793	Zwingen	71.098799631
13022793	Zwingen	93.991370011
13032821	Arisdorf	163.3
13032821	Arisdorf	484.58942632
13032821	Arisdorf	282.77227723
13032821	Arisdorf	540.74074074
13032821	Arisdorf	446.55770183
13032822	Augst	612.72727273
13032822	Augst	554.96453901
13032822	Augst	204.6997389
13032822	Augst	306.07101947
13032822	Augst	493.58974359
13032823	Bubendorf	105.88235294
13032823	Bubendorf	257.44382022
13032823	Bubendorf	227.98418972
13032823	Bubendorf	401.75925926
13032823	Bubendorf	48.90167364
13032824	Frenkendorf	257.30496454
13032824	Frenkendorf	96.510204082
13032824	Frenkendorf	454.87305487
13032824	Frenkendorf	589.8089172
13032824	Frenkendorf	1409.8039216
13032825	Füllinsdorf	404.22535211
13032825	Füllinsdorf	97.212294496
13032825	Füllinsdorf	192.30769231
13032825	Füllinsdorf	78.913425835
13032825	Füllinsdorf	967.96536797
13032826	Giebenach	769.40298507
13032826	Giebenach	248.02538787
13032826	Giebenach	64
13032826	Giebenach	36.014760148
13032826	Giebenach	219.48051948
13032827	Hersberg	45.733788396
13032827	Hersberg	186.14457831
13032827	Hersberg	269.57446809
13032827	Hersberg	45.349952061
13032827	Hersberg	631.0766721
13032828	Lausen	174.37295529
13032828	Lausen	571.42857143
13032828	Lausen	1165.7381616
13032828	Lausen	924.23698384
13032828	Lausen	127.72277228
13032829	Liestal	588.59367842
13032829	Liestal	124.29824561
13032829	Liestal	784.87348735
13032829	Liestal	17.234332425
13032829	Liestal	749.51768489
13032830	Lupsingen	457.23472669
13032830	Lupsingen	105.24861878
13032830	Lupsingen	187.72070626
13032830	Lupsingen	81.883584042
13032830	Lupsingen	273.97260274
13032831	Pratteln	130.77816492
13032831	Pratteln	446.17486339
13032831	Pratteln	1530.1587302
13032831	Pratteln	271.75239756
13032831	Pratteln	334.12162162
13032832	Ramlinsburg	151.8018018
13032832	Ramlinsburg	393.17561419
13032832	Ramlinsburg	763.63636364
13032832	Ramlinsburg	331.55555556
13032832	Ramlinsburg	115.62099872
13032833	Seltisberg	368.25842697
13032833	Seltisberg	1115.1898734
13032833	Seltisberg	430.88381331
13032833	Seltisberg	340.19886364
13032833	Seltisberg	204.56026059
13032834	Ziefen	94.602012809
13032834	Ziefen	464.13043478
13032834	Ziefen	200.63938619
13032834	Ziefen	1640.3036577
13032834	Ziefen	1196.1182994
13042842	Böckten	103.1
13042842	Böckten	981.44087706
13042842	Böckten	241.20956399
13042842	Böckten	352.63157895
13042842	Böckten	511.17898595
13042843	Buckten	1024.8730964
13042843	Buckten	187.27272727
13042843	Buckten	59.844054581
13042843	Buckten	39.561777237
13042843	Buckten	347
13042844	Buus	116.94915254
13042844	Buus	1320
13042844	Buus	389.96655518
13042844	Buus	266.28873772
13042844	Buus	476.66666667
13042845	Diepflingen	3108.7145969
13042845	Diepflingen	164.68646865
13042845	Diepflingen	130.69164265
13042845	Diepflingen	312.39316239
13042845	Diepflingen	512.5
13042846	Gelterkinden	307.79220779
13042846	Gelterkinden	110.05586592
13042846	Gelterkinden	87.797147385
13042846	Gelterkinden	623.21063395
13042846	Gelterkinden	40.83703234
13042848	Hemmiken	48.127953471
13042848	Hemmiken	72.818455366
13042848	Hemmiken	74.041297935
13042848	Hemmiken	275.30954115
13042848	Hemmiken	449.39759036
13042849	Itingen	148.23848238
13042849	Itingen	235.36804309
13042849	Itingen	68.66970576
13042849	Itingen	666.1341853
13042849	Itingen	74.760689215
13042850	Känerkinden	48.135964912
13042850	Känerkinden	75.594563986
13042850	Känerkinden	86.303630363
13042850	Känerkinden	358.10810811
13042850	Känerkinden	21.500823336
13042853	Maisprach	439.84375
13042853	Maisprach	288.28006088
13042853	Maisprach	6.6325987437
13042853	Maisprach	308.44444444
13042853	Maisprach	184.84251969
13042854	Nusshof	290.73033708
13042854	Nusshof	5.4200123533
13042854	Nusshof	301.953125
13042854	Nusshof	148.25581395
13042854	Nusshof	30.897887324
13042856	Ormalingen	1298.5176739
13042856	Ormalingen	317.6046176
13042856	Ormalingen	159.7693786
13042856	Ormalingen	1543.0379747
13042856	Ormalingen	13.455723542
13042857	Rickenbach (BL)	5.497382199
13042857	Rickenbach (BL)	1553.8845331
13042857	Rickenbach (BL)	206.2605753
13042857	Rickenbach (BL)	118.85964912
13042857	Rickenbach (BL)	204.82758621
13042859	Rümlingen	255.27488856
13042859	Rümlingen	235.59322034
13042859	Rümlingen	171.05263158
13042859	Rümlingen	3286.2252664
13042859	Rümlingen	148.34437086
13042860	Rünenberg	238.56794142
13042860	Rünenberg	1430.7053942
13042860	Rünenberg	50.433526012
13042860	Rünenberg	368.05555556
13042860	Rünenberg	156.33802817
13042861	Sissach	16.462167689
13042861	Sissach	64.926931106
13042861	Sissach	32.280102477
13042861	Sissach	441.3957935
13042861	Sissach	748.98876404
13042862	Tecknau	3380.6451613
13042862	Tecknau	77.860169492
13042862	Tecknau	226.33744856
13042862	Tecknau	1861.0778443
13042862	Tecknau	366.66666667
13042863	Tenniken	718.39762611
13042863	Tenniken	252.30923695
13042863	Tenniken	268.55345912
13042863	Tenniken	196.14561028
13042863	Tenniken	149.59871589
13042864	Thürnen	49.840255591
13042864	Thürnen	620.79646018
13042864	Thürnen	256.64939551
13042864	Thürnen	119.50904393
13042864	Thürnen	383.08550186
13042865	Wenslingen	219.86644407
13042865	Wenslingen	106.59661413
13042865	Wenslingen	246.86956522
13042865	Wenslingen	250
13042865	Wenslingen	121.11486486
13042866	Wintersingen	121.43712575
13042866	Wintersingen	111.40609636
13042866	Wintersingen	713.4751773
13042866	Wintersingen	87.194244604
13042866	Wintersingen	34.786253143
13042867	Wittinsburg	156.17647059
13042867	Wittinsburg	199.33422104
13042867	Wittinsburg	1079.9019608
13042867	Wittinsburg	609.02061856
13042867	Wittinsburg	135.625
13042869	Zunzgen	364.72303207
13042869	Zunzgen	932.8990228
13042869	Zunzgen	1965.8536585
13042869	Zunzgen	81.072555205
13042869	Zunzgen	370.2247191
13052881	Arboldswil	196.25806452
13052881	Arboldswil	411.39784946
13052881	Arboldswil	740
13052881	Arboldswil	925.55555556
13052881	Arboldswil	161.95965418
13052882	Bennwil	282.88444831
13052882	Bennwil	236.72593501
13052882	Bennwil	82.98245614
13052882	Bennwil	24.54620462
13052882	Bennwil	101.83767228
13052883	Bretzwil	46.026722925
13052883	Bretzwil	224.87804878
13052883	Bretzwil	835.95505618
13052883	Bretzwil	356.97098372
13052883	Bretzwil	106.41200546
13052884	Diegten	171.78423237
13052884	Diegten	56.777251185
13052884	Diegten	2258.7692308
13052884	Diegten	17.943925234
13052884	Diegten	84.744268078
13052886	Hölstein	43.208038705
13052886	Hölstein	3281.2244898
13052886	Hölstein	217.4522293
13052886	Hölstein	414.4278607
13052886	Hölstein	961.9047619
13052887	Lampenberg	539.01515152
13052887	Lampenberg	96.347941567
13052887	Lampenberg	536.14457831
13052887	Lampenberg	125.43640898
13052887	Lampenberg	295.86206897
13052889	Lauwil	243.67816092
13052889	Lauwil	615.35087719
13052889	Lauwil	643.85245902
13052889	Lauwil	43.287671233
13052889	Lauwil	39.912280702
13052891	Niederdorf	57.647547797
13052891	Niederdorf	409.75056689
13052891	Niederdorf	28.400342173
13052891	Niederdorf	68.08988764
13052891	Niederdorf	58.961474037
13052892	Oberdorf (BL)	145.75163399
13052892	Oberdorf (BL)	387.92270531
13052892	Oberdorf (BL)	131.61530287
13052892	Oberdorf (BL)	185.47008547
13052892	Oberdorf (BL)	280.15267176
13052893	Reigoldswil	891.74679487
13052893	Reigoldswil	174.37837838
13052893	Reigoldswil	104.71092077
13052893	Reigoldswil	5136.6906475
13052893	Reigoldswil	105.16647532
13052894	Titterten	1107.079646
13052894	Titterten	111.5902965
13052894	Titterten	123.49272349
13052894	Titterten	154.06091371
13052894	Titterten	78.514851485
19094251	Hellikon	25.978119785
19094251	Hellikon	18.656419769
19094251	Hellikon	223.86284115
19094251	Hellikon	101.1761158
19094251	Hellikon	111.22159091
19094252	Kaiseraugst	13.900862069
19094252	Kaiseraugst	106.38888889
19094252	Kaiseraugst	64.259335248
19094252	Kaiseraugst	1140.4081633
19094252	Kaiseraugst	85.254691689
19094253	Magden	4.6824887749
19094253	Magden	88.536082474
19094253	Magden	106.06593407
19094253	Magden	356.17059891
19094253	Magden	31.461601982
19094254	Möhlin	585.31914894
19094254	Möhlin	343.90426328
19094254	Möhlin	573.79518072
19094254	Möhlin	346.40598045
19094254	Möhlin	148.60426929
19094255	Mumpf	455.41401274
19094255	Mumpf	474.04761905
19094255	Mumpf	202.5210084
19094255	Mumpf	78.130876269
19094255	Mumpf	64.104477612
19094256	Obermumpf	209.16334661
19094256	Obermumpf	10.07751938
19094256	Obermumpf	308.10126582
19094256	Obermumpf	11.841584158
19094256	Obermumpf	337.52006421
19094257	Olsberg	5.7154438589
19094257	Olsberg	36.966126657
19094257	Olsberg	77.874186551
19094257	Olsberg	482.1888412
19094257	Olsberg	909.68208092
19094258	Rheinfelden	832.52184769
19094258	Rheinfelden	4.4307822769
19094258	Rheinfelden	148.75621891
19094258	Rheinfelden	45.713054718
19094258	Rheinfelden	218.01385681
19094262	Wegenstetten	150.56179775
19094262	Wegenstetten	419.83805668
19094262	Wegenstetten	441.3957935
19094262	Wegenstetten	1.0973084886
19094262	Wegenstetten	58.42514582
19094263	Zeiningen	3380.6451613
19094263	Zeiningen	294.10774411
19094263	Zeiningen	39.035937164
19094263	Zeiningen	201.23131047
19094263	Zeiningen	1.8908312522
19094264	Zuzgen	25.978119785
19094264	Zuzgen	271.28205128
19094264	Zuzgen	268.55345912
19094264	Zuzgen	6.4142833526
19094264	Zuzgen	105.36352801
2471	Bättwil	701.79640719
2471	Bättwil	275.84973166
2471	Bättwil	18.013100437
2471	Bättwil	1728.7128713
2471	Bättwil	9.4781682641
2472	Büren (SO)	167.25521669
2472	Büren (SO)	75.260308205
2472	Büren (SO)	243.26241135
2472	Büren (SO)	1008.7719298
2472	Büren (SO)	44.710743802
2473	Dornach	729.73451327
2473	Dornach	29357.718121
2473	Dornach	36.739974127
2473	Dornach	1154.7495682
2473	Dornach	100.72674419
2474	Gempen	135.29411765
2474	Gempen	260.25515211
2474	Gempen	12.36238946
2474	Gempen	3525.9259259
2474	Gempen	146.9115192
2475	Hochwald	156.40718563
2475	Hochwald	83.831954169
2475	Hochwald	424.5398773
2475	Hochwald	2303.1440162
2475	Hochwald	446.6966967
2476	Hofstetten-Flüh	3387.3563218
2476	Hofstetten-Flüh	213.18777293
2476	Hofstetten-Flüh	4.7271520982
2476	Hofstetten-Flüh	413.29787234
2476	Hofstetten-Flüh	217.8807947
2477	Metzerlen-Mariastein	66.809815951
2477	Metzerlen-Mariastein	455.44147844
2477	Metzerlen-Mariastein	31.075697211
2477	Metzerlen-Mariastein	86.318897638
2477	Metzerlen-Mariastein	109.90566038
2478	Nuglar-St. Pantaleon	234.38485804
2478	Nuglar-St. Pantaleon	548.51301115
2478	Nuglar-St. Pantaleon	41.677419355
2478	Nuglar-St. Pantaleon	15.020862309
2478	Nuglar-St. Pantaleon	80.093676815
2479	Rodersdorf	246.1682243
2479	Rodersdorf	2167.8678679
2479	Rodersdorf	176.01809955
2479	Rodersdorf	50.709677419
2479	Rodersdorf	80.159521436
2480	Seewen	62.170447578
2480	Seewen	4818.8372093
2480	Seewen	3824.7272727
2480	Seewen	107.94157919
2480	Seewen	29.103815439
2481	Witterswil	42.080045096
2481	Witterswil	560.6741573
2481	Witterswil	186.12440191
2481	Witterswil	70.634278003
2481	Witterswil	720.08733624
2611	Bärschwil	398.17073171
2611	Bärschwil	407.28051392
2611	Bärschwil	1504.4052863
2611	Bärschwil	272.35772358
2611	Bärschwil	72.922252011
2613	Breitenbach	598.03921569
2613	Breitenbach	374.52380952
2613	Breitenbach	37.170474517
2613	Breitenbach	565.88235294
2613	Breitenbach	2220.9302326
2614	Büsserach	303.57615894
2614	Büsserach	147740.43321
2614	Büsserach	40.277264325
2614	Büsserach	9.3063583815
2614	Büsserach	144.29530201
2616	Fehren	2970.1846966
2616	Fehren	658.03757829
2616	Fehren	11.714362129
2616	Fehren	397.97297297
2616	Fehren	267.56756757
2618	Himmelried	579.39698492
2618	Himmelried	1941.8987342
2618	Himmelried	56.169680428
2618	Himmelried	1439.0581717
2618	Himmelried	153.39966833
2619	Kleinlützel	377.62237762
2619	Kleinlützel	76.225490196
2619	Kleinlützel	99.523809524
2619	Kleinlützel	261.58261583
2619	Kleinlützel	9.2481203008
2620	Meltingen	755.18867925
2620	Meltingen	778.52494577
2620	Meltingen	148.58903665
2620	Meltingen	8.3728278041
2620	Meltingen	111.97916667
2621	Nunningen	309.45626478
2621	Nunningen	108.19672131
2621	Nunningen	183.60814743
2621	Nunningen	359.12961211
2621	Nunningen	1775.0853242
2622	Zullwil	1081.0246679
2622	Zullwil	665.63573883
2622	Zullwil	184.69945355
2622	Zullwil	115.51956815
2622	Zullwil	1121.0946408
2701	Basel	185.29862175
2701	Basel	478.82352941
2701	Basel	7191.3207547
2701	Basel	121.45311733
2701	Basel	410.9922179
2702	Bettingen	516.14349776
2702	Bettingen	449.38488576
2702	Bettingen	44.50867052
2702	Bettingen	1301.5384615
2702	Bettingen	528.87700535
2703	Riehen	3034.3387471
2703	Riehen	1954.3698252
2703	Riehen	209.68962907
2703	Riehen	33.64323068
2703	Riehen	140.54669704
2761	Aesch (BL)	1383.3783784
2761	Aesch (BL)	161.8694362
2761	Aesch (BL)	71.735604217
2761	Aesch (BL)	187.68472906
2761	Aesch (BL)	204.83870968
2762	Allschwil	2352.4184477
2762	Allschwil	598.16753927
2762	Allschwil	8.5027726433
2762	Allschwil	785.37344398
2762	Allschwil	711.36909528
2763	Arlesheim	44.96124031
2763	Arlesheim	206.48918469
2763	Arlesheim	349.43820225
2763	Arlesheim	3621.4659686
2763	Arlesheim	1327.8499278
2764	Biel-Benken	164.76821192
2764	Biel-Benken	2323.4703196
2764	Biel-Benken	831.7961165
2764	Biel-Benken	90.411710887
2764	Biel-Benken	224.78386167
2765	Binningen	14.849902979
2765	Binningen	3493.2735426
2765	Binningen	470.06578947
2765	Binningen	86.810228802
2765	Binningen	207.17035611
2766	Birsfelden	4147.4103586
2766	Birsfelden	36.398838335
2766	Birsfelden	51.895812727
2766	Birsfelden	1279.0540541
2766	Birsfelden	68.877968878
2767	Bottmingen	182.78950736
2767	Bottmingen	68.910179641
2767	Bottmingen	50.027670172
2767	Bottmingen	2205.0167224
2767	Bottmingen	219.48051948
2768	Ettingen	100
2768	Ettingen	37.644125896
2768	Ettingen	28490.531561
2768	Ettingen	815.82278481
2768	Ettingen	240.86614173
2769	Münchenstein	70.526960784
2769	Münchenstein	77.813504823
2769	Münchenstein	1697.2183588
2769	Münchenstein	18.676579926
2769	Münchenstein	64.138389887
2770	Muttenz	72.818455366
2770	Muttenz	1069.3693694
2770	Muttenz	3688.1944444
2770	Muttenz	520
2770	Muttenz	40.244428469
2771	Oberwil (BL)	991.95736434
2771	Oberwil (BL)	148.23848238
2771	Oberwil (BL)	1422.1799747
