"Datum"	"Jahr"	"Monat"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
"2013-07"	2013	"Juli"	402	189	344	80
"2013-08"	2013	"August"	398	184	335	80
"2013-09"	2013	"September"	391	198	331	77
"2013-10"	2013	"Oktober"	374	197	326	83
"2013-11"	2013	"November"	372	196	329	79
"2013-12"	2013	"Dezember"	389	197	325	80
"2014-01"	2014	"Januar"	394	201	334	71
"2014-02"	2014	"Februar"	382	203	338	65
"2014-03"	2014	"März"	375	196	339	74
"2014-04"	2014	"April"	367	197	325	75
"2014-05"	2014	"Mai"	347	186	300	78
"2014-06"	2014	"Juni"	347	182	284	80
"2014-07"	2014	"Juli"	340	167	276	86
"2014-08"	2014	"August"	330	160	274	83
"2014-09"	2014	"September"	362	171	263	81
"2014-10"	2014	"Oktober"	357	180	282	75
"2014-11"	2014	"November"	365	189	280	77
"2014-12"	2014	"Dezember"	367	194	300	79
"2015-01"	2015	"Januar"	385	205	324	86
"2015-02"	2015	"Februar"	359	192	328	83
"2015-03"	2015	"März"	358	185	322	86
"2015-04"	2015	"April"	358	180	326	91
"2015-05"	2015	"Mai"	362	185	310	93
"2015-06"	2015	"Juni"	362	188	305	95
"2015-07"	2015	"Juli"	356	167	286	89
"2015-08"	2015	"August"	358	162	283	93
"2015-09"	2015	"September"	365	152	294	93
"2015-10"	2015	"Oktober"	363	149	290	96
"2015-11"	2015	"November"	358	160	286	92
"2015-12"	2015	"Dezember"	351	164	281	90
"2016-01"	2016	"Januar"	362	170	286	88
"2016-02"	2016	"Februar"	387	167	300	95
"2016-03"	2016	"März"	387	165	294	93
"2016-04"	2016	"April"	382	172	298	97
"2016-05"	2016	"Mai"	378	169	288	94
"2016-06"	2016	"Juni"	366	175	258	99
"2016-07"	2016	"Juli"	362	159	263	94
"2016-08"	2016	"August"	372	172	252	91
"2016-09"	2016	"September"	371	163	259	86
"2016-10"	2016	"Oktober"	356	174	272	89
"2016-11"	2016	"November"	366	188	291	99
"2016-12"	2016	"Dezember"	367	190	277	92
"2017-01"	2017	"Januar"	389	187	291	97
"2017-02"	2017	"Februar"	389	188	301	92
"2017-03"	2017	"März"	406	198	291	93
"2017-04"	2017	"April"	404	206	282	88
"2017-05"	2017	"Mai"	393	211	289	94
"2017-06"	2017	"Juni"	372	208	289	96
"2017-07"	2017	"Juli"	374	188	286	97
"2017-08"	2017	"August"	413	188	292	95
"2017-09"	2017	"September"	411	179	276	81
"2017-10"	2017	"Oktober"	386	175	268	76
"2017-11"	2017	"November"	366	164	280	77
"2017-12"	2017	"Dezember"	362	167	289	77

