JahrKW	Gemeldete Todesfälle 0 - 64 Jahre	Untere Grenze Erwartungsbereich 0 - 64 Jahre	Obere Grenze Erwartungsbereich  0 - 64 Jahre	Gemeldete Todesfälle 65+ Jahre	Untere Grenze Erwartungsbereich 65+ Jahre	Obere Grenze 65+ Jahre
2015-03	6	0	11.3	41	22.5	54.5
2015-04	6	0	11.3	44	22.5	54.5
2015-05	3	0	11.3	44	22.5	54.5
2015-06	8	0	11.3	48	22.5	54.5
2015-07	3	0	11.3	47	22.5	54.5
2015-08	9	0	11.3	53	22.4	54.2
2015-09	6	0	11.3	46	22.2	54
2015-10	5	0	11.3	42	21.9	53.6
2015-11	2	0	11.3	48	21.6	53.2
2015-12	5	0	11.3	42	21.3	52.6
2015-13	5	0	11.3	45	20.9	52
2015-14	3	0	11.3	40	20.5	51.4
2015-15	4	0	11.3	27	20	50.6
2015-16	3	0	11.3	35	19.4	49.7
2015-17	9	0	11.3	39	19	49.1
2015-18	4	0	11.3	38	18.6	48.4
2015-19	7	0	11.3	30	18.2	47.8
2015-20	3	0	11.3	33	17.9	47.3
2015-21	5	0	11.3	35	17.5	46.7
2015-22	4	0	11.3	33	17.3	46.4
2015-23	1	0	11.3	34	17.1	46.1
2015-24	6	0	11.3	35	16.9	45.8
2015-25	5	0	11.3	35	17	45.9
2015-26	6	0	11.3	36	17	45.9
2015-27	3	0	11.3	51	17.1	46
2015-28	8	0	11.3	50	17.3	46.4
2015-29	7	0	11.3	43	17.5	46.7
2015-30	4	0	11.3	39	17.7	47
2015-31	6	0	11.3	28	17.9	47.3
2015-32	3	0	11.3	32	18	47.5
2015-33	13	0	11.3	30	18.2	47.7
2015-34	5	0	11.3	40	18.3	47.9
2015-35	4	0	11.3	33	18.4	48.1
2015-36	4	0	11.3	35	18.4	48.2
2015-37	10	0	11.3	38	18.5	48.3
2015-38	3	0	11.3	32	18.6	48.5
2015-39	3	0	11.3	28	18.7	48.6
2015-40	1	0	11.3	34	18.9	48.8
2015-41	8	0	11.3	28	19.2	49.3
2015-42	3	0	11.3	32	19.4	49.7
2015-43	3	0	11.3	29	19.9	50.4
2015-44	3	0	11.3	35	20.3	51.1
2015-45	4	0	11.3	22	20.7	51.6
2015-46	6	0	11.3	25	21	52.2
2015-47	1	0	11.3	37	21.3	52.7
2015-48	3	0	11.3	31	21.5	52.9
2015-49	3	0	11.3	34	21.7	53.2
2015-50	3	0	11.3	35	21.8	53.4
2015-51	3	0	11.3	29	22	53.6
2015-52	3	0	11.3	38	22.1	53.8
2015-53	3	0	11.3	41	22.2	54
2016-01	5	0	11.1	24	24.2	57
2016-02	4	0	11.1	31	24.1	56.8
2016-03	5	0	11.1	37	24	56.7
2016-04	2	0	11	33	23.9	56.5
2016-05	3	0	11	28	23.7	56.3
2016-06	3	0	10.9	29	23.6	56.1
2016-07	6	0	10.9	45	23.5	55.9
2016-08	5	0	10.9	30	23.2	55.6
2016-09	6	0	10.8	45	23	55.3
2016-10	9	0	10.8	33	22.7	54.8
2016-11	3	0	10.8	29	22.4	54.3
2016-12	8	0	10.8	30	22	53.7
2016-13	8	0	10.7	39	21.6	53.1
2016-14	2	0	10.7	38	21.2	52.5
2016-15	2	0	10.7	36	20.7	51.7
2016-16	4	0	10.7	32	20.2	50.9
2016-17	2	0	10.6	28	19.8	50.3
2016-18	5	0	10.6	24	19.4	49.6
2016-19	3	0	10.6	34	19.1	49.2
2016-20	3	0	10.6	37	18.9	48.8
2016-21	5	0	10.6	39	18.6	48.4
2016-22	4	0	10.6	39	18.5	48.2
2016-23	11	0	10.6	29	18.4	48.1
2016-24	6	0	10.6	32	18.3	47.9
2016-25	5	0	10.7	34	18.3	48
2016-26	2	0	10.7	33	18.4	48.1
2016-27	2	0	10.7	28	18.4	48.2
2016-28	5	0	10.8	32	18.6	48.4
2016-29	3	0	10.8	27	18.7	48.6
2016-30	3	0	10.8	40	18.9	48.9
2016-31	5	0	10.8	33	19.1	49.2
2016-32	2	0	10.8	31	19.2	49.4
2016-33	7	0	10.9	50	19.3	49.6
2016-34	5	0	10.9	37	19.4	49.7
2016-35	7	0	10.8	35	19.5	49.8
2016-36	4	0	10.8	23	19.5	49.9
2016-37	3	0	10.8	33	19.6	50
2016-38	4	0	10.7	33	19.7	50.1
2016-39	2	0	10.7	32	19.8	50.3
2016-40	4	0	10.6	34	19.9	50.5
2016-41	4	0	10.6	31	20.1	50.8
2016-42	2	0	10.5	27	20.3	51.1
2016-43	4	0	10.5	29	20.6	51.6
2016-44	1	0	10.4	35	20.9	52
2016-45	1	0	10.4	33	21.2	52.5
2016-46	7	0	10.3	34	21.6	53
2016-47	1	0	10.2	38	21.9	53.5
2016-48	8	0	10.2	37	22.2	54
2016-49	8	0	10.1	39	22.6	54.5
2016-50	3	0	10	44	22.9	55
2016-51	4	0	10	47	23.2	55.5
2016-52	10	0	9.9	50	23.5	56
2017-01	5	0	10.3	43	22.8	54.9
2017-02	5	0	10.3	57	22.8	54.9
2017-03	4	0	10.3	54	22.8	54.9
2017-04	6	0	10.3	34	22.8	54.8
2017-05	4	0	10.2	32	22.7	54.8
2017-06	6	0	10.2	64	22.7	54.7
2017-07	1	0	10.2	40	22.6	54.6
2017-08	3	0	10.2	41	22.5	54.5
2017-09	7	0	10.2	39	22.4	54.3
2017-10	3	0	10.1	40	22.2	54
2017-11	2	0	10.1	41	22	53.7
2017-12	7	0	10.1	33	21.7	53.2
2017-13	3	0	10.1	34	21.4	52.7
2017-14	7	0	10.1	39	21	52.2
2017-15	3	0	10.1	23	20.6	51.5
2017-16	3	0	10.1	34	20.1	50.8
2017-17	7	0	10	33	19.7	50.1
2017-18	2	0	10	33	19.3	49.5
2017-19	4	0	10	30	19	49
2017-20	5	0	10	31	18.7	48.6
2017-21	4	0	10	27	18.4	48.1
2017-22	3	0	10	33	18.3	47.9
2017-23	10	0	9.9	35	18.1	47.7
2017-24	6	0	9.9	29	18	47.5
2017-25	4	0	9.9	36	18	47.5
2017-26	5	0	9.9	38	18.1	47.6
2017-27	2	0	9.9	48	18.1	47.6
2017-28	6	0	9.9	32	18.2	47.8
2017-29	2	0	9.8	29	18.3	48
2017-30	4	0	9.8	26	18.5	48.2
2017-31	7	0	9.8	34	18.6	48.5
2017-32	4	0	9.8	37	18.8	48.7
2017-33	4	0	9.8	42	18.9	48.9
2017-34	5	0	9.8	28	19	49.1
2017-35	2	0	9.7	34	19.1	49.2
2017-36	10	0	9.7	21	19.2	49.3
2017-37	6	0	9.7	28	19.2	49.4
2017-38	3	0	9.7	47	19.4	49.6
2017-39	4	0	9.7	44	19.5	49.8
2017-40	5	0	9.7	21	19.6	50
2017-41	9	0	9.6	39	19.8	50.4
2017-42	6	0	9.6	34	20.1	50.7
2017-43	3	0	9.6	34	20.4	51.2
2017-44	6	0	9.6	43	20.7	51.7
2017-45	7	0	9.6	32	21.1	52.3
2017-46	3	0	9.5	39	21.5	52.9
2017-47	3	0	9.5	40	21.8	53.4
2017-48	5	0	9.5	47	22.2	53.9
2017-49	4	0	9.5	43	22.5	54.5
2017-50	4	0	9.5	29	22.9	55
2017-51	2	0	9.4	36	23.2	55.5
2017-52	7	0	9.4	35	23.6	56.1
2018-01	6	0	10.1	46	23.3	55.6
2018-02	4	0	10.1	42	23.2	55.6
2018-03	3	0	10.1	46	23.2	55.5
2018-04	8	0	10	42	23.1	55.4
2018-05	1	0	10	46	23.1	55.3
2018-06	6	0	10	44	23	55.2
2018-07	4	0	10	35	22.9	55.1
2018-08	3	0	10	36	22.8	55
2018-09	6	0	9.9	57	22.7	54.8
2018-10	5	0	9.9	42	22.5	54.5
2018-11	7	0	9.9	51	22.3	54.2
2018-12	6	0	9.9	45	21.9	53.6
2018-13	7	0	9.9	29	21.6	53.1
2018-14	3	0	9.9	38	21.2	52.5
2018-15	2	0	9.8	34	20.7	51.7
2018-16	8	0	9.8	35	20.2	51
2018-17	5	0	9.8	26	19.8	50.2
2018-18	7	0	9.8	41	19.3	49.5
2018-19	6	0	9.8	29	19	49.1
2018-20	2	0	9.8	34	18.8	48.7
2018-21	5	0	9.8	33	18.5	48.3
2018-22	5	0	9.7	19	18.5	48.2
2018-23	9	0	9.7	27	18.4	48.1
2018-24	2	0	9.7	22	18.4	48
2018-25	4	0	9.7	33	18.4	48.2
2018-26	4	0	9.7	38	18.5	48.3
2018-27	5	0	9.6	27	18.6	48.5
2018-28	4	0	9.6	31	18.8	48.7
2018-29	5	0	9.6	32	18.9	48.9
2018-30	6	0	9.6	25	19	49.1
2018-31	6	0	9.6	37	19.2	49.3
2018-32	3	0	9.6	50	19.2	49.4
2018-33	6	0	9.6	41	19.3	49.5
2018-34	4	0	9.6	41	19.4	49.7
2018-35	4	0	9.5	24	19.5	49.8
2018-36	3	0	9.5	35	19.5	49.9
2018-37	3	0	9.5	25	19.6	50
2018-38	2	0	9.5	28	19.7	50.1
2018-39	6	0	9.5	33	19.8	50.3
2018-40	5	0	9.5	49	19.9	50.4
2018-41	7	0	9.4	32	20.1	50.8
2018-42	6	0	9.4	22	20.4	51.2
2018-43	6	0	9.4	28	20.6	51.6
2018-44	2	0	9.4	33	20.9	52
2018-45	4	0	9.4	38	21.2	52.5
2018-46	6	0	9.4	27	21.5	52.9
2018-47	6	0	9.4	40	21.7	53.3
2018-48	6	0	9.3	30	22	53.7
2018-49	7	0	9.3	31	22.3	54.1
2018-50	3	0	9.3	38	22.6	54.6
2018-51	8	0	9.3	35	22.8	54.9
2018-52	2	0	9.3	48	23.1	55.3
2019-01	1	0	10.2	28	24.2	57
2019-02	7	0	10.2	36	24.1	56.8
2019-03	7	0	10.1	31	24	56.7
2019-04	5	0	10.1	48	23.8	56.5
2019-05	6	0	10.1	39	23.7	56.3
2019-06	4	0	10.1	35	23.6	56.1
2019-07	7	0	10.1	39	23.4	55.9
2019-08	4	0	10.1	42	23.3	55.6
2019-09	5	0	10.1	38	23.1	55.4
2019-10	5	0	10.1	42	22.8	55
2019-11	3	0	10.1	38	22.6	54.6
2019-12	8	0	10	34	22.2	54
2019-13	3	0	10	35	21.8	53.4
2019-14	3	0	10	37	21.4	52.8
2019-15	5	0	10	31	20.9	52
2019-16	5	0	10	35	20.4	51.3
2019-17	3	0	10	36	19.9	50.5
2019-18	3	0	10	44	19.4	49.7
2019-19	10	0	10	37	19.1	49.3
2019-20	2	0	10	36	18.8	48.8
2019-21	4	0	9.9	43	18.5	48.3
2019-22	4	0	9.9	35	18.4	48
2019-23	6	0	9.9	39	18.2	47.8
2019-24	6	0	9.9	28	18	47.5
2019-25	3	0	9.9	31	18	47.5
2019-26	7	0	9.9	32	18	47.5
2019-27	6	0	9.9	29	18	47.5
2019-28	6	0	9.9	35	18.1	47.7
2019-29	3	0	9.9	28	18.3	47.9
2019-30	6	0	9.8	50	18.4	48.1
2019-31	5	0	9.8	31	18.6	48.4
2019-32	8	0	9.8	28	18.7	48.6
2019-33	3	0	9.8	31	18.8	48.8
2019-34	3	0	9.8	33	19	49
2019-35	4	0	9.8	26	19.1	49.2
2019-36	4	0	9.8	34	19.2	49.3
2019-37	2	0	9.8	26	19.3	49.5
2019-38	0	0	9.7	31	19.4	49.6
2019-39	1	0	9.7	39	19.4	49.7
2019-40	5	0	9.7	33	19.5	49.8
2019-41	8	0	9.7	35	19.7	50.2
2019-42	4	0	9.7	34	20	50.6
2019-43	1	0	9.7	43	20.3	51
2019-44	6	0	9.7	25	20.6	51.5
2019-45	2	0	9.6	31	20.9	52
2019-46	8	0	9.6	32	21.2	52.4
2019-47	4	0	9.6	39	21.5	52.9
2019-48	3	0	9.6	40	21.8	53.4
2019-49	4	0	9.6	35	22.1	53.9
2019-50	7	0	9.6	33	22.5	54.4
2019-51	5	0	9.6	47	22.8	54.9
2019-52	5	0	9.5	38	23.1	55.3
2020-01	5	0	10.1	40	23.2	55.5
2020-02	6	0	10.1	40	23.1	55.3
2020-03	6	0	10.1	33	23	55.1
2020-04	1	0	10.1	36	22.8	55
2020-05	3	0	10.1	42	22.7	54.7
2020-06	4	0	10.1	29	22.5	54.5
2020-07	2	0	10	31	22.4	54.3
2020-08	3	0	10	31	22.2	54
2020-09	3	0	10	32	22	53.7
2020-10	3	0	10	35	21.8	53.5
2020-11	4	0	10	41	21.7	53.2
2020-12	6	0	10	49	21.4	52.7
2020-13	6	0	10	62	21.1	52.3
2020-14	5	0	10	62	20.8	51.8
2020-15	6	0	9.9	33	20.4	51.2
2020-16	6	0	9.9	45	20	50.6
2020-17		0	9.9		19.6	50
2020-18		0	9.9		19.3	49.4
2020-19		0	9.9		19	49
2020-20		0	9.9		18.7	48.6
2020-21		0	9.9		18.5	48.2
2020-22		0	9.8		18.3	48
2020-23		0	9.8		18.2	47.8
2020-24		0	9.8		18	47.5
2020-25		0	9.8		18	47.5
2020-26		0	9.8		18	47.5
2020-27		0	9.8		18	47.4
2020-28		0	9.8		18	47.5
2020-29		0	9.7		18.1	47.6
2020-30		0	9.7		18.1	47.7
2020-31		0	9.7		18.2	47.7
2020-32		0	9.7		18.2	47.9
2020-33		0	9.7		18.3	48
2020-34		0	9.7		18.4	48.1
2020-35		0	9.6		18.5	48.2
2020-36		0	9.6		18.6	48.4
2020-37		0	9.6		18.7	48.5
2020-38		0	9.6		18.8	48.8
2020-39		0	9.5		19	49
2020-40		0	9.5		19.1	49.2
2020-41		0	9.5		19.3	49.6
2020-42		0	9.5		19.6	50
2020-43		0	9.4		19.8	50.4
2020-44		0	9.4		20.1	50.8
2020-45		0	9.4		20.4	51.3
2020-46		0	9.4		20.8	51.8
2020-47		0	9.3		21.1	52.3
2020-48		0	9.3		21.5	52.9
2020-49		0	9.3		21.8	53.4
2020-50		0	9.3		22.1	53.9
2020-51		0	9.2		22.5	54.4
2020-52		0	9.2		22.8	55
2020-53		0	9.2		23.2	55.5
